any,mes,periode,index_confianca,situacio_actual_financera,situacio_actual_economica,expectatives_financera,expectatives_economica
1996,1,1996-01,2.3,1.8,-27.3,17.8,9.9
1996,2,1996-02,1.3,0.1,-27.9,15.9,9.0
1996,3,1996-03,2.7,1.7,-18.4,16.0,12.8
1996,4,1996-04,1.6,1.2,-20.5,15.7,10.8
1996,5,1996-05,2.2,1.6,-21.7,15.6,11.3
1996,6,1996-06,2.4,1.8,-19.7,15.7,13.3
1996,7,1996-07,-0.8,-0.3,-24.0,12.4,4.6
1996,8,1996-08,0.4,1.8,-20.4,12.8,6.0
1996,9,1996-09,-0.7,-0.2,-22.4,12.5,4.5
1996,10,1996-10,1.5,2.0,-18.9,15.0,6.7
1996,11,1996-11,1.4,2.2,-21.1,14.5,6.3
1996,12,1996-12,4.2,3.0,-15.1,16.4,12.7
1997,1,1997-01,7.6,7.4,-6.3,20.1,17.4
1997,2,1997-02,5.0,4.2,-8.9,16.7,14.2
1997,3,1997-03,5.4,4.9,-6.7,16.9,14.4
1997,4,1997-04,6.4,5.4,-4.3,18.4,16.5
1997,5,1997-05,6.1,4.4,-1.2,16.5,16.1
1997,6,1997-06,9.9,9.1,2.5,20.5,19.3
1997,7,1997-07,8.9,6.7,1.6,19.2,19.8
1997,8,1997-08,11.0,9.8,3.2,22.0,21.9
1997,9,1997-09,8.3,6.4,-0.5,19.1,17.5
1997,10,1997-10,7.9,5.8,0.4,18.1,17.1
1997,11,1997-11,9.3,8.9,1.7,18.9,17.3
1997,12,1997-12,9.6,8.4,3.7,18.4,19.5
1998,1,1998-01,10.3,10.2,2.7,20.5,17.7
1998,2,1998-02,10.6,10.0,2.2,20.3,18.5
1998,3,1998-03,10.7,9.8,3.3,20.2,18.4
1998,4,1998-04,10.2,9.3,4.1,19.7,17.8
1998,5,1998-05,10.9,10.3,3.8,19.3,18.0
1998,6,1998-06,10.7,10.7,3.8,20.3,16.2
1998,7,1998-07,10.4,8.6,4.0,18.7,18.1
1998,8,1998-08,11.4,11.3,1.1,19.6,16.2
1998,9,1998-09,11.8,11.0,3.2,21.5,17.8
1998,10,1998-10,12.7,11.8,5.3,21.2,20.2
1998,11,1998-11,14.0,14.5,7.5,23.4,21.7
1998,12,1998-12,13.5,13.8,7.8,22.0,19.4
1999,1,1999-01,13.0,12.8,7.9,21.8,20.1
1999,2,1999-02,12.8,13.3,9.5,22.0,19.7
1999,3,1999-03,12.3,13.4,8.3,21.5,18.7
1999,4,1999-04,10.9,12.3,4.2,20.8,14.3
1999,5,1999-05,10.6,13.2,4.5,20.0,13.2
1999,6,1999-06,11.9,14.2,4.7,20.1,15.4
1999,7,1999-07,12.3,15.7,6.5,20.8,17.4
1999,8,1999-08,12.7,15.0,6.4,21.3,17.5
1999,9,1999-09,12.1,13.2,5.4,21.5,17.8
1999,10,1999-10,14.5,15.6,9.8,24.3,20.9
1999,11,1999-11,13.9,15.8,9.2,23.2,20.6
1999,12,1999-12,12.2,13.5,8.6,22.3,18.5
2000,1,2000-01,13.1,14.7,10.0,23.4,20.2
2000,2,2000-02,14.3,16.5,11.6,23.7,20.7
2000,3,2000-03,14.9,17.2,14.5,23.7,21.8
2000,4,2000-04,13.8,16.8,11.2,22.0,18.8
2000,5,2000-05,12.2,15.3,7.7,21.2,16.9
2000,6,2000-06,12.1,15.2,7.0,22.2,16.8
2000,7,2000-07,12.4,15.3,7.0,22.9,16.4
2000,8,2000-08,12.4,15.8,6.8,21.9,16.7
2000,9,2000-09,9.4,13.4,-3.1,19.0,9.5
2000,10,2000-10,9.2,13.6,-3.2,21.1,9.4
2000,11,2000-11,10.6,13.1,-3.0,20.1,9.3
2000,12,2000-12,10.2,13.6,0.0,20.1,11.7
2001,1,2001-01,10.9,14.5,-0.7,21.0,10.9
2001,2,2001-02,10.5,13.7,0.1,21.0,12.5
2001,3,2001-03,11.2,16.3,1.8,21.9,11.9
2001,4,2001-04,8.0,10.8,-3.7,19.4,7.8
2001,5,2001-05,8.6,13.0,-2.8,18.1,8.8
2001,6,2001-06,8.0,12.1,-4.6,16.2,8.1
2001,7,2001-07,7.0,10.8,-6.0,16.9,6.9
2001,8,2001-08,8.6,13.1,-2.8,17.7,9.8
2001,9,2001-09,7.3,11.7,-4.4,19.7,5.1
2001,10,2001-10,9.2,13.7,-2.1,20.4,7.8
2001,11,2001-11,7.7,12.9,-3.8,18.2,6.4
2001,12,2001-12,7.3,12.0,-3.8,15.4,7.3
2002,1,2002-01,5.9,9.9,-5.5,14.0,6.3
2002,2,2002-02,6.8,9.6,-6.5,17.2,7.0
2002,3,2002-03,5.4,7.3,-7.9,13.0,7.7
2002,4,2002-04,5.1,8.0,-10.8,14.7,4.5
2002,5,2002-05,5.7,8.7,-11.9,15.8,5.4
2002,6,2002-06,3.8,6.3,-15.4,14.0,2.3
2002,7,2002-07,2.7,4.3,-18.4,14.1,0.4
2002,8,2002-08,1.8,2.6,-18.1,11.7,2.0
