municipi,any_dirce,total_empreses,empreses_g_i,any_pob,poblacio,gi_per_1000hab,index_capacitat
Sanet y Negrals,2025,64,,2025,712,,
San Fulgencio,2025,511,188.0,2025,9769,19.244549083836624,17.251502026674217
Sant Joan d'Alacant,2025,2017,601.0,2025,26834,22.396959081761945,28.690282591217553
San Miguel de Salinas,2025,543,146.0,2025,7177,20.342761599554134,16.613540488211015
Santa Pola,2025,2551,952.0,2025,39709,23.974413860837593,33.559719496224275
Sant Vicent del Raspeig/San Vicente del Raspeig,2025,3592,1306.0,2025,60247,21.67742792172224,33.39926344996084
Sax,2025,562,182.0,2025,10346,17.591339648173207,15.308600553179186
Sella,2025,50,,2025,621,,
Senija,2025,49,,2025,698,,
Tàrbena,2025,40,,2025,662,,
Teulada,2025,1549,439.0,2025,12912,33.99938042131351,38.51800717229701
Tibi,2025,128,39.0,2025,1757,22.1969265793967,
Tormos,2025,19,,2025,323,,
"Torre de les Maçanes, la/Torremanzanas",2025,41,,2025,749,,
Torrevieja,2025,7004,2200.0,2025,98533,22.32754508641775,37.73915777789631
"Vall d'Alcalà, la",2025,9,,2025,159,,
"Vall d'Ebo, la",2025,13,,2025,231,,
"Vall de Gallinera, la",2025,42,,2025,583,,
"Vall de Laguar, la",2025,63,,2025,905,,
"Verger, el",2025,398,138.0,2025,5508,25.054466230936818,21.10500883888375
"Vila Joiosa, la/Villajoyosa",2025,2256,768.0,2025,37449,20.507890731394696,28.454164519000997
Villena,2025,2162,655.0,2025,34712,18.869555197050012,25.635990010386294
"Poblets, els",2025,210,53.0,2025,2757,19.22379397896264,
Pilar de la Horadada,2025,1539,472.0,2025,24316,19.411087349893073,23.894658052298475
"Montesinos, Los",2025,491,150.0,2025,5786,25.924645696508815,22.59375244134415
San Isidro,2025,175,73.0,2025,2337,31.23662815575524,
Abla,2025,54,34.0,2025,1268,26.813880126182966,
Abrucena,2025,53,21.0,2025,1241,16.921837228041902,
Adra,2025,1238,567.0,2025,25501,22.234422179522372,28.112344075338548
Albanchez,2025,35,,2025,688,,
Alboloduy,2025,21,,2025,579,,
Albox,2025,905,407.0,2025,12799,31.79935932494726,35.70387574140702
Alcolea,2025,38,,2025,829,,
Alcóntar,2025,26,,2025,545,,
Alhabia,2025,41,,2025,743,,
Alhama de Almería,2025,284,106.0,2025,3975,26.666666666666668,
Alicún,2025,9,,2025,206,,
Almería,2025,12340,4121.0,2025,205468,20.056651157357837,39.79513709795124
Almócita,2025,15,,2025,208,,
Antas,2025,369,165.0,2025,3472,47.52304147465438,
Arboleas,2025,237,94.0,2025,4215,22.30130486358244,
Armuña de Almanzora,2025,15,,2025,371,,
Bacares,2025,9,,2025,226,,
Bayárcal,2025,11,,2025,294,,
Bayarque,2025,8,,2025,215,,
Bédar,2025,54,,2025,953,,
Beires,2025,4,,2025,140,,
Benahadux,2025,270,119.0,2025,4901,24.280759028769637,
Benizalón,2025,9,,2025,242,,
Bentarique,2025,11,,2025,223,,
Berja,2025,653,305.0,2025,13120,23.246951219512194,24.80438761432791
Canjáyar,2025,58,32.0,2025,1139,28.09482001755926,
Cantoria,2025,249,88.0,2025,3592,24.498886414253896,
Carboneras,2025,500,222.0,2025,8458,26.247339796642233,25.684132403283826
Castro de Filabres,2025,5,,2025,101,,
Cuevas del Almanzora,2025,919,419.0,2025,15526,26.986989565889477,30.91612851571726
Chercos,2025,16,,2025,301,,
Chirivel,2025,76,33.0,2025,1619,20.38295243977764,
Dalías,2025,172,79.0,2025,4196,18.82745471877979,
Enix,2025,29,,2025,612,,
Felix,2025,37,,2025,771,,
Fines,2025,198,75.0,2025,2404,31.19800332778702,
Fiñana,2025,78,46.0,2025,1956,23.517382413087937,
Fondón,2025,60,19.0,2025,1152,16.493055555555557,
Gádor,2025,114,50.0,2025,3130,15.974440894568689,
"Gallardos, Los",2025,204,93.0,2025,3110,29.90353697749196,
Garrucha,2025,557,249.0,2025,10845,22.959889349930844,23.08072772751492
Gérgal,2025,55,26.0,2025,1211,21.46985962014864,
Huécija,2025,21,,2025,526,,
