nombre,subsector,cnae,ing_2024,ing_2020,empleados,marge_ebitda,marge_ebit,marge_net,roa,ratio_personal,productivitat,cost_empleat,cagr,break_flag,quota_2024,rank_2024
Rosa-Crema SL,Cosmètica i perfumeria,4775,249067.0,107355.0,222.0,3.2441070073514355,2.4808585641614505,1.8300296707311685,11.945383546924548,2.0725346994985285,1121923.4234234234,23252.252252252252,23.416571720715517,False,0.2523650094126585,42
General Óptica,Òptica,4778,227898.0,166792.0,1968.0,10.104520443356238,6.9061597732318845,5.317291068811486,11.813103791150407,35.39214911934286,115801.82926829268,40984.756097560974,8.116337270257379,False,0.23091570105684833,43
Tiendanimal,Mascotes,4776,220910.0,143293.0,1009.0,8.866959395228827,5.01788058485356,3.27644742202707,10.136687020334994,9.382101308225069,218939.54410307235,20541.12983151635,11.42883760727682,False,0.22383516977098686,44
Kave Home,Mobles i llar,4759,181030.0,31954.0,284.0,3.7711981439540407,2.853118267690438,1.6439264210351876,5.909334604157979,8.202507871623489,637429.5774647887,52285.211267605635,54.278827683757356,False,0.18342710055516612,45
La Sirena,Alimentació,4711,180042.0,163528.0,1129.0,4.0385021272814114,-0.13219137756745647,2.199486786416503,4.843799691758202,17.97247308961242,159470.32772364924,28660.7617360496,2.4343051636152913,False,0.18242601799786345,46
Media Markt Canarias SA,Electrodomèstics,4754,165196.0,23651.0,414.0,3.4401559359790794,2.628392939296351,2.673188212789656,8.351457155284907,6.528003099348653,399024.154589372,26048.309178743963,,True,0.1673834353604995,47
Optica del Penedes SLU,Òptica,4774,155835.0,93615.0,1385.0,17.328584721019027,14.51406936824205,10.8993486700677,28.488284329347042,33.70167163987551,112516.24548736462,37919.85559566787,13.587329959724759,False,0.15789848210249305,48
Action,No especialitzat,4719,155331.0,,1974.0,5.503730742736479,4.035253748446865,2.75283105111021,6.959522143194284,12.760492110396507,78688.44984802432,10041.033434650455,,True,0.15738780840929412,49
Bimba y Lola,Moda i tèxtil,4771,147006.0,145338.0,272.0,3.3712909677156033,-1.9754295743030896,-2.6053358366325186,-2.363803563603597,10.376447219841367,540463.2352941176,56080.882352941175,0.28569077086133543,False,0.1489525732984188,50
Christian Dior,Moda i tèxtil,4771,127234.0,32997.0,111.0,30.303220837197603,27.720577832969173,21.30876966848484,55.27759088221502,6.171306411808165,1146252.2522522523,70738.73873873874,40.1303416992651,False,0.1289187632549081,51
Foot Locker,Esports,4764,126622.0,,765.0,5.5179984520857355,3.0792437333164853,2.062042930928275,4.947980822073566,13.49765443603797,165518.954248366,22341.176470588234,,False,0.12829865948459507,52
Forum Sport,Esports,4764,126192.0,108775.0,708.0,3.165810827944719,1.4470013947001394,0.7116140484341321,0.8843282847182558,14.54450361354127,178237.28813559323,25923.728813559323,3.7828715348477315,False,0.12786296565904837,53
Luxury Goods Spain SL,Moda i tèxtil,4771,124644.0,60890.0,172.0,6.7736914733160045,4.988607554314688,5.6609223067295655,6.521377474629846,8.493790314816598,724674.4186046511,61552.32558139535,19.6138174176564,False,0.1262944678870802,54
Merkal,Calçat,4772,121439.0,94033.0,856.0,-2.020767628191932,-4.40632745658314,-9.987730465501198,-27.783122594832328,22.295144064098025,141867.9906542056,31629.672897196262,6.603011269427617,False,0.12304702902457504,55
Adolfo Domínguez,Moda i tèxtil,4771,121387.0,55046.0,791.0,3.3512649624753887,1.2620791353275063,-0.05437155543839126,-0.11337478956951937,25.62712646329508,153460.17699115045,39327.433628318584,21.860120465708132,False,0.12299434046892754,56
Maisons du Monde,Mobles i llar,4759,117204.0,114198.0,654.0,5.684106344493363,2.801098938602778,1.8403808743728884,7.6240633394599175,12.645472850755946,179211.00917431194,22662.079510703363,0.6516697452335407,False,0.1187559514636673,57
Kiko Milano,Cosmètica i perfumeria,4775,106216.0,45692.0,1160.0,5.584845974241169,2.565526850945244,2.1475107328462752,4.523011639666078,21.15877080665813,91565.5172413793,19374.137931034482,23.4773907142225,False,0.10762245435876663,58
Lidl,Alimentació,4711,,4877728.0,,,,,,,,,,False,,
Eroski,Alimentació,4711,,2226376.0,,,,,,,,,,False,,
Tendam,Moda i tèxtil,4771,,624066.0,,,,,,,,,,False,,
Family Cash,Alimentació,4711,,291811.0,,,,,,,,,,False,,
Kiabi,Moda i tèxtil,4771,,160243.0,,,,,,,,,,False,,
