serie_id,ambit,tipus,branca,indicador,any,mes,data,valor
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,6,2020-06-01,97.921
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,7,2020-07-01,104.272
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,8,2020-08-01,97.165
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,9,2020-09-01,93.896
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,10,2020-10-01,98.536
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,11,2020-11-01,93.679
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,12,2020-12-01,115.437
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,1,2021-01-01,91.595
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,2,2021-02-01,80.54
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,3,2021-03-01,95.574
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,4,2021-04-01,91.481
